,RandomForest,K-nearest-neighbor,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost
remove_outliers_iqr + features_selection_mutual_information + oversampling_none,0.5245901639344263,0.6376811594202899,0.6835443037974683,0.4482758620689655,0.4745762711864407,0.44067796610169496,0.591549295774648,0.523076923076923
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote,0.5945945945945945,0.5151515151515151,0.5714285714285715,0.591549295774648,0.5822784810126581,0.5205479452054795,0.6578947368421052,0.5833333333333333
remove_outliers_iqr + features_selection_mutual_information + oversampling_svm_smote,0.5833333333333333,0.5352112676056338,0.5555555555555556,0.5161290322580645,0.5142857142857142,0.5205479452054795,0.6315789473684211,0.5675675675675675
remove_outliers_iqr + features_selection_mutual_information + oversampling_adasyn,0.5753424657534247,0.5428571428571428,0.5897435897435898,0.6315789473684211,0.5822784810126581,0.5205479452054795,0.6578947368421052,0.6027397260273972
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote_borderline,0.591549295774648,0.6666666666666667,0.6666666666666667,0.5151515151515151,0.6,0.65,0.7012987012987013,0.6216216216216216
remove_outliers_iqr + features_selection_rfe + oversampling_none,0.44067796610169496,0.5079365079365079,0.606060606060606,0.619718309859155,0.4918032786885245,0.4814814814814815,0.591549295774648,0.456140350877193
remove_outliers_iqr + features_selection_rfe + oversampling_smote,0.5217391304347826,0.5507246376811593,0.5428571428571428,0.45901639344262296,0.5974025974025974,0.5205479452054795,0.6133333333333333,0.4615384615384615
remove_outliers_iqr + features_selection_rfe + oversampling_svm_smote,0.5151515151515151,0.5151515151515151,0.5454545454545455,0.5797101449275363,0.5714285714285714,0.5205479452054795,0.591549295774648,0.5428571428571428
remove_outliers_iqr + features_selection_rfe + oversampling_adasyn,0.5833333333333333,0.5428571428571428,0.4857142857142857,0.647887323943662,0.5789473684210527,0.5205479452054795,0.675,0.5833333333333333
remove_outliers_iqr + features_selection_rfe + oversampling_smote_borderline,0.5633802816901409,0.5507246376811593,0.5,0.45901639344262296,0.5142857142857142,0.5205479452054795,0.6582278481012659,0.4923076923076923
remove_outliers_iqr + features_selection_variance_threshold + oversampling_none,0.5714285714285714,0.6388888888888888,0.5106382978723405,0.4745762711864407,0.5454545454545455,0.25000000000000006,0.64,0.6229508196721311
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote,0.6285714285714286,0.6829268292682927,0.6923076923076923,0.4666666666666667,0.6097560975609756,0.6666666666666667,0.605263157894737,0.523076923076923
remove_outliers_iqr + features_selection_variance_threshold + oversampling_svm_smote,0.6470588235294118,0.6829268292682927,0.5151515151515151,0.5142857142857142,0.5945945945945945,0.5846153846153846,0.6133333333333333,0.6388888888888888
remove_outliers_iqr + features_selection_variance_threshold + oversampling_adasyn,0.6301369863013698,0.6588235294117648,0.5952380952380952,0.6285714285714286,0.5853658536585366,0.6593406593406593,0.6410256410256411,0.6857142857142857
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote_borderline,0.6933333333333334,0.7209302325581395,0.5428571428571428,0.5,0.575,0.6666666666666665,0.6233766233766234,0.6956521739130436
remove_outliers_lof + features_selection_none + oversampling_none,0.5538461538461538,0.6486486486486486,0.5679012345679013,0.4848484848484849,0.4482758620689655,0.6229508196721311,0.625,0.611111111111111
remove_outliers_lof + features_selection_none + oversampling_smote,0.606060606060606,0.6493506493506493,0.4444444444444445,0.5454545454545455,0.6315789473684211,0.6666666666666667,0.6153846153846153,0.64
remove_outliers_lof + features_selection_none + oversampling_svm_smote,0.608695652173913,0.6666666666666667,0.6593406593406593,0.619718309859155,0.6329113924050633,0.6315789473684211,0.6153846153846153,0.6301369863013698
remove_outliers_lof + features_selection_none + oversampling_adasyn,0.626865671641791,0.6666666666666666,0.6,0.5797101449275363,0.5974025974025974,0.6285714285714286,0.6153846153846153,0.6301369863013698
remove_outliers_lof + features_selection_none + oversampling_smote_borderline,0.6153846153846153,0.675,0.5070422535211268,0.611111111111111,0.6075949367088607,0.6582278481012659,0.5937499999999999,0.591549295774648
remove_outliers_lof + features_selection_extratrees + oversampling_none,0.5671641791044776,0.4745762711864407,0.588235294117647,0.5833333333333333,0.5714285714285714,0.42857142857142855,0.5483870967741936,0.5833333333333333
remove_outliers_lof + features_selection_extratrees + oversampling_smote,0.5588235294117646,0.5,0.6153846153846153,0.5555555555555556,0.5833333333333333,0.45901639344262296,0.606060606060606,0.608695652173913
remove_outliers_lof + features_selection_extratrees + oversampling_svm_smote,0.5671641791044776,0.45901639344262296,0.5977011494252874,0.6,0.5405405405405405,0.4931506849315068,0.5671641791044776,0.5753424657534247
remove_outliers_lof + features_selection_extratrees + oversampling_adasyn,0.5588235294117646,0.49275362318840576,0.6,0.5797101449275363,0.611111111111111,0.45714285714285713,0.588235294117647,0.5945945945945945
remove_outliers_lof + features_selection_extratrees + oversampling_smote_borderline,0.5588235294117646,0.5428571428571428,0.5833333333333333,0.5373134328358209,0.6027397260273972,0.45714285714285713,0.5797101449275363,0.5833333333333333
remove_outliers_lof + features_selection_mutual_information + oversampling_none,0.5970149253731343,0.5757575757575757,0.34615384615384615,0.5428571428571428,0.5625,0.6129032258064516,0.5573770491803278,0.5833333333333333
remove_outliers_lof + features_selection_mutual_information + oversampling_smote,0.619718309859155,0.5945945945945945,0.6046511627906976,0.523076923076923,0.547945205479452,0.6835443037974683,0.6153846153846153,0.611111111111111
remove_outliers_lof + features_selection_mutual_information + oversampling_svm_smote,0.5714285714285714,0.5945945945945945,0.6575342465753424,0.5671641791044776,0.5405405405405405,0.6666666666666666,0.5714285714285714,0.5507246376811593
remove_outliers_lof + features_selection_mutual_information + oversampling_adasyn,0.611111111111111,0.5753424657534247,0.6097560975609756,0.5217391304347826,0.547945205479452,0.684931506849315,0.606060606060606,0.5945945945945945
remove_outliers_lof + features_selection_mutual_information + oversampling_smote_borderline,0.5714285714285714,0.6233766233766234,0.6593406593406593,0.4923076923076923,0.5333333333333333,0.6744186046511628,0.606060606060606,0.5352112676056338
remove_outliers_lof + features_selection_rfe + oversampling_none,0.5428571428571428,0.5625,0.6153846153846153,0.5797101449275363,0.591549295774648,0.5666666666666667,0.5483870967741936,0.6027397260273972
remove_outliers_lof + features_selection_rfe + oversampling_smote,0.5753424657534247,0.5633802816901409,0.6835443037974683,0.5753424657534247,0.6315789473684211,0.6666666666666666,0.588235294117647,0.5833333333333333
remove_outliers_lof + features_selection_rfe + oversampling_svm_smote,0.5753424657534247,0.611111111111111,0.6666666666666666,0.588235294117647,0.6315789473684211,0.6315789473684211,0.588235294117647,0.5753424657534247
remove_outliers_lof + features_selection_rfe + oversampling_adasyn,0.5753424657534247,0.6176470588235293,0.6756756756756757,0.5507246376811593,0.6315789473684211,0.6216216216216216,0.5454545454545455,0.5753424657534247
remove_outliers_lof + features_selection_rfe + oversampling_smote_borderline,0.5833333333333333,0.6301369863013698,0.6666666666666666,0.5833333333333333,0.6315789473684211,0.6216216216216216,0.5671641791044776,0.5753424657534247
remove_outliers_lof + features_selection_variance_threshold + oversampling_none,0.5846153846153846,0.6486486486486486,0.5454545454545454,0.5714285714285714,0.4482758620689655,0.6229508196721311,0.625,0.611111111111111
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote,0.5937499999999999,0.7000000000000001,0.6741573033707865,0.6666666666666666,0.5294117647058822,0.6666666666666666,0.5846153846153846,0.6301369863013698
remove_outliers_lof + features_selection_variance_threshold + oversampling_svm_smote,0.606060606060606,0.6666666666666667,0.6511627906976745,0.6486486486486486,0.6419753086419753,0.6582278481012659,0.6363636363636364,0.591549295774648
remove_outliers_lof + features_selection_variance_threshold + oversampling_adasyn,0.6470588235294118,0.6666666666666666,0.6461538461538462,0.6176470588235293,0.547945205479452,0.6756756756756757,0.6153846153846153,0.6666666666666667
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote_borderline,0.5970149253731343,0.675,0.6666666666666666,0.5833333333333333,0.5866666666666667,0.65,0.606060606060606,0.588235294117647
