,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_isolation_forest + features_selection_none + oversampling_adasyn,0.9024663677130045,0.896358543417367,0.8646659116647791,0.9028914348063284,0.8890746934225195,0.8779106356198867,0.8926065839179709,
remove_outliers_isolation_forest + features_selection_none + oversampling_smote_borderline,0.9060364464692483,0.8888888888888888,0.8682669789227166,0.9051254089422028,0.8910220214568041,0.878463476070529,0.8941368078175895,
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_none,0.8781645569620253,0.8718619246861925,0.8666666666666667,0.8759770713913496,0.8488253319713994,0.8382204246713852,0.8742674480554076,0.8520949015648662
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote,0.8867719107240065,0.8845947396672035,0.8713550600343053,0.8843243243243243,0.8715744223535733,0.8429584599797366,0.8787712561711465,0.8658922914466737
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_svm_smote,0.8861788617886179,0.8865131578947368,0.8693923906871096,0.8933556672250139,0.8827777777777778,0.848531684698609,0.8797364085667215,0.8761593016912166
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.8956075299486594,0.8912203202650469,0.8784403669724771,0.896551724137931,0.8855555555555555,0.8468282619907168,0.8854108440469536,0.882387361029842
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.8963553530751709,0.9069908814589666,0.8739837398373984,0.9009675583380763,0.8953757225433526,0.8489394723228143,0.884009009009009,0.8836937463471654
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.8863636363636364,0.8872651356993737,0.8738839285714286,0.8942105263157895,0.8655941878567722,0.8446550816219063,0.8830068819481207,0.8264907135874878
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.8952967525195968,0.8985915492957747,0.876229034123771,0.9036827195467422,0.8856673960612691,0.8367862556846892,0.8887671232876713,0.8667745415318231
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.894880174291939,0.9086783891094725,0.8802736602052451,0.9010331702011963,0.8968253968253969,0.8433487416538265,0.8934559221200649,0.8756998880179171
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.9000564652738566,0.9196217494089834,0.8866937826844857,0.9115095430884904,0.9014891179839634,0.8488247863247863,0.900280112044818,0.8859293572669369
