,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_zscore + features_selection_mutual_information + oversampling_svm_smote,0.8949724517906336,0.900137741046832,0.868801652892562,0.903236914600551,0.875,0.8539944903581267,0.8915289256198347,0.8670798898071626
remove_outliers_zscore + features_selection_mutual_information + oversampling_adasyn,0.8911845730027548,0.8932506887052342,0.859504132231405,0.9022038567493113,0.871900826446281,0.8446969696969697,0.890495867768595,0.8502066115702479
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote_borderline,0.8884297520661157,0.8987603305785123,0.8557162534435262,0.8963498622589532,0.881198347107438,0.8367768595041323,0.8898071625344353,0.8574380165289256
remove_outliers_zscore + features_selection_rfe + oversampling_none,0.8987603305785123,0.8929063360881543,0.8639807162534435,0.9042699724517906,0.8598484848484849,0.8457300275482094,0.8966942148760331,
remove_outliers_zscore + features_selection_rfe + oversampling_smote,0.8911845730027548,0.8891184573002755,0.8701790633608816,0.903236914600551,0.8770661157024794,0.8560606060606061,0.8901515151515151,
remove_outliers_zscore + features_selection_rfe + oversampling_svm_smote,0.897038567493113,0.8915289256198347,0.8543388429752066,0.897038567493113,0.8684573002754821,0.8460743801652892,0.8953168044077136,
remove_outliers_zscore + features_selection_rfe + oversampling_adasyn,0.8877410468319559,0.8915289256198347,0.862603305785124,0.8997933884297521,0.8722451790633609,0.8519283746556474,0.8867079889807162,
remove_outliers_zscore + features_selection_rfe + oversampling_smote_borderline,0.8915289256198347,0.8915289256198347,0.859504132231405,0.9008264462809917,0.8663911845730028,0.8508953168044077,0.8911845730027548,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_none,0.9004820936639119,0.8884297520661157,0.8539944903581267,0.9111570247933884,0.8560606060606061,0.7923553719008265,0.8966942148760331,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote,0.8991046831955923,0.881198347107438,0.8384986225895317,0.9077134986225895,0.8701790633608816,0.8130165289256198,0.8901515151515151,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_svm_smote,0.8939393939393939,0.8946280991735537,0.8605371900826446,0.8997933884297521,0.8694903581267218,0.7940771349862259,0.8949724517906336,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_adasyn,0.8984159779614325,0.8853305785123967,0.8508953168044077,0.9025482093663911,0.8694903581267218,0.8075068870523416,0.8939393939393939,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote_borderline,0.897038567493113,0.8836088154269972,0.8388429752066116,0.9015151515151515,0.8677685950413223,0.8019972451790633,0.893595041322314,
remove_outliers_iqr + features_selection_none + oversampling_none,0.8598484848484849,0.6766528925619835,0.7221074380165289,0.8677685950413223,0.6084710743801653,0.803030303030303,0.8588154269972452,
remove_outliers_iqr + features_selection_none + oversampling_smote,0.84400826446281,0.8288567493112947,0.7086776859504132,0.8381542699724518,0.8319559228650137,0.7272727272727273,0.8639807162534435,
remove_outliers_iqr + features_selection_none + oversampling_svm_smote,0.8663911845730028,0.871900826446281,0.7024793388429752,0.8729338842975206,0.8257575757575758,0.6990358126721763,0.8712121212121212,
remove_outliers_iqr + features_selection_none + oversampling_adasyn,0.8274793388429752,0.8226584022038568,0.7431129476584022,0.828168044077135,0.834366391184573,0.7555096418732782,0.8474517906336089,
remove_outliers_iqr + features_selection_none + oversampling_smote_borderline,0.8347107438016529,0.8577823691460055,0.6883608815426997,0.8584710743801653,0.828168044077135,0.6573691460055097,0.8681129476584022,
remove_outliers_iqr + features_selection_extratrees + oversampling_none,0.8725895316804407,0.6904269972451791,0.7090220385674931,0.8739669421487604,0.6253443526170799,0.8064738292011019,0.8508953168044077,0.7331267217630854
remove_outliers_iqr + features_selection_extratrees + oversampling_smote,0.756198347107438,0.8667355371900827,0.7486225895316805,0.8657024793388429,0.7754820936639119,0.6666666666666666,0.7840909090909091,0.8126721763085399
remove_outliers_iqr + features_selection_extratrees + oversampling_svm_smote,0.8694903581267218,0.7865013774104683,0.7148760330578512,0.8512396694214877,0.8044077134986226,0.803374655647383,0.871900826446281,0.8116391184573003
remove_outliers_iqr + features_selection_extratrees + oversampling_adasyn,0.762396694214876,0.8209366391184573,0.6745867768595041,0.8405647382920111,0.756198347107438,0.7234848484848485,0.8357438016528925,0.803030303030303
remove_outliers_iqr + features_selection_extratrees + oversampling_smote_borderline,0.8254132231404959,0.8426308539944903,0.7014462809917356,0.8560606060606061,0.7699724517906336,0.6632231404958677,0.862603305785124,0.8123278236914601
remove_outliers_iqr + features_selection_mutual_information + oversampling_none,0.8736225895316805,0.8674242424242424,0.7434573002754821,0.8791322314049587,0.7214187327823691,0.8271349862258953,0.8261019283746557,0.7482782369146006
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote,0.8261019283746557,0.8319559228650137,0.6931818181818182,0.8471074380165289,0.8584710743801653,0.7940771349862259,0.8464187327823691,0.8123278236914601
remove_outliers_iqr + features_selection_mutual_information + oversampling_svm_smote,0.8632920110192838,0.8519283746556474,0.727961432506887,0.8619146005509641,0.8598484848484849,0.8353994490358126,0.8588154269972452,0.8302341597796143
remove_outliers_iqr + features_selection_mutual_information + oversampling_adasyn,0.8319559228650137,0.8044077134986226,0.7007575757575758,0.8450413223140496,0.7444903581267218,0.821625344352617,0.8612258953168044,0.8147382920110193
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote_borderline,0.7589531680440771,0.8601928374655647,0.6807851239669421,0.8471074380165289,0.8271349862258953,0.7534435261707989,0.8608815426997245,0.8054407713498623
remove_outliers_iqr + features_selection_rfe + oversampling_none,0.8743112947658402,0.8546831955922864,0.6990358126721763,0.8694903581267218,0.6084710743801653,0.7964876033057852,0.8584710743801653,
remove_outliers_iqr + features_selection_rfe + oversampling_smote,0.8364325068870524,0.8471074380165289,0.7234848484848485,0.849862258953168,0.8264462809917356,0.7389807162534435,0.8426308539944903,
remove_outliers_iqr + features_selection_rfe + oversampling_svm_smote,0.8739669421487604,0.8629476584022039,0.7083333333333334,0.8701790633608816,0.8119834710743802,0.7138429752066116,0.8684573002754821,
remove_outliers_iqr + features_selection_rfe + oversampling_adasyn,0.821625344352617,0.8271349862258953,0.7234848484848485,0.8302341597796143,0.8288567493112947,0.7785812672176309,0.8488292011019284,
remove_outliers_iqr + features_selection_rfe + oversampling_smote_borderline,0.8402203856749312,0.8543388429752066,0.6983471074380165,0.8608815426997245,0.815771349862259,0.6580578512396694,0.8636363636363636,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_none,0.8657024793388429,0.787534435261708,0.6976584022038568,0.8715564738292011,0.6084710743801653,0.803030303030303,0.8588154269972452,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote,0.7820247933884298,0.815771349862259,0.7000688705234159,0.8519283746556474,0.828168044077135,0.6732093663911846,0.8629476584022039,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_svm_smote,0.8378099173553719,0.8081955922865014,0.7017906336088154,0.8694903581267218,0.7964876033057852,0.6893939393939394,0.8681129476584022,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_adasyn,0.8023415977961432,0.8488292011019284,0.7672176308539945,0.8453856749311295,0.8171487603305785,0.7231404958677686,0.8502066115702479,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote_borderline,0.8075068870523416,0.8567493112947658,0.7665289256198347,0.8667355371900827,0.8116391184573003,0.6766528925619835,0.859504132231405,
remove_outliers_lof + features_selection_none + oversampling_none,0.8977272727272727,0.8946280991735537,0.8512396694214877,0.9090909090909091,0.8539944903581267,0.8085399449035813,0.8946280991735537,
remove_outliers_lof + features_selection_none + oversampling_smote,0.8980716253443526,0.8870523415977961,0.8329889807162535,0.9035812672176309,0.8705234159779615,0.8240358126721763,0.8960055096418733,
remove_outliers_lof + features_selection_none + oversampling_svm_smote,0.8977272727272727,0.884641873278237,0.8292011019283747,0.9022038567493113,0.8636363636363636,0.8075068870523416,0.8956611570247934,
remove_outliers_lof + features_selection_none + oversampling_adasyn,0.8960055096418733,0.8822314049586777,0.8316115702479339,0.9022038567493113,0.868801652892562,0.8064738292011019,0.8946280991735537,
remove_outliers_lof + features_selection_none + oversampling_smote_borderline,0.890495867768595,0.8915289256198347,0.8250688705234159,0.9056473829201102,0.8694903581267218,0.821625344352617,0.8887741046831956,
remove_outliers_lof + features_selection_extratrees + oversampling_none,0.884641873278237,0.8839531680440771,0.8512396694214877,0.8767217630853994,0.8729338842975206,0.8419421487603306,0.8722451790633609,0.8708677685950413
remove_outliers_lof + features_selection_extratrees + oversampling_smote,0.8836088154269972,0.8794765840220385,0.8422865013774105,0.8777548209366391,0.8774104683195593,0.8495179063360881,0.8701790633608816,0.862603305785124
remove_outliers_lof + features_selection_extratrees + oversampling_svm_smote,0.8784435261707989,0.8832644628099173,0.8477961432506887,0.8756887052341598,0.8677685950413223,0.8429752066115702,0.871900826446281,0.8601928374655647
remove_outliers_lof + features_selection_extratrees + oversampling_adasyn,0.8660468319559229,0.8729338842975206,0.8391873278236914,0.8777548209366391,0.8708677685950413,0.849862258953168,0.8550275482093664,0.8446969696969697
remove_outliers_lof + features_selection_extratrees + oversampling_smote_borderline,0.8729338842975206,0.8639807162534435,0.8429752066115702,0.8694903581267218,0.8619146005509641,0.8398760330578512,0.8663911845730028,0.8453856749311295
remove_outliers_lof + features_selection_mutual_information + oversampling_none,0.8925619834710744,0.9028925619834711,0.8419421487603306,0.9046143250688705,0.8798209366391184,0.8415977961432507,0.8898071625344353,0.8505509641873278
remove_outliers_lof + features_selection_mutual_information + oversampling_smote,0.8956611570247934,0.9011707988980716,0.8512396694214877,0.9053030303030303,0.8829201101928374,0.8446969696969697,0.8942837465564738,0.8581267217630854
remove_outliers_lof + features_selection_mutual_information + oversampling_svm_smote,0.8842975206611571,0.8836088154269972,0.8250688705234159,0.8822314049586777,0.8767217630853994,0.8460743801652892,0.8863636363636364,0.8615702479338843
remove_outliers_lof + features_selection_mutual_information + oversampling_adasyn,0.8842975206611571,0.8898071625344353,0.8464187327823691,0.8805096418732782,0.8712121212121212,0.8333333333333334,0.8853305785123967,0.8460743801652892
remove_outliers_lof + features_selection_mutual_information + oversampling_smote_borderline,0.8842975206611571,0.8908402203856749,0.8267906336088154,0.875,0.859504132231405,0.8309228650137741,0.8829201101928374,0.8429752066115702
remove_outliers_lof + features_selection_rfe + oversampling_none,0.8956611570247934,0.9056473829201102,0.8477961432506887,0.9101239669421488,0.8691460055096418,0.8388429752066116,0.8922176308539945,
remove_outliers_lof + features_selection_rfe + oversampling_smote,0.897038567493113,0.9022038567493113,0.834366391184573,0.9104683195592287,0.8691460055096418,0.8508953168044077,0.8977272727272727,
remove_outliers_lof + features_selection_rfe + oversampling_svm_smote,0.9008264462809917,0.9056473829201102,0.8539944903581267,0.90633608815427,0.8681129476584022,0.8419421487603306,0.8929063360881543,
remove_outliers_lof + features_selection_rfe + oversampling_adasyn,0.8984159779614325,0.9042699724517906,0.828168044077135,0.9049586776859504,0.871900826446281,0.8378099173553719,0.8880853994490359,
remove_outliers_lof + features_selection_rfe + oversampling_smote_borderline,0.8997933884297521,0.8997933884297521,0.8350550964187328,0.9101239669421488,0.8684573002754821,0.8381542699724518,0.8922176308539945,
remove_outliers_lof + features_selection_variance_threshold + oversampling_none,0.8946280991735537,0.8932506887052342,0.8508953168044077,0.9090909090909091,0.8539944903581267,0.8085399449035813,0.8946280991735537,
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote,0.8956611570247934,0.884641873278237,0.8391873278236914,0.9018595041322314,0.8722451790633609,0.8236914600550964,0.897038567493113,
remove_outliers_lof + features_selection_variance_threshold + oversampling_svm_smote,0.8984159779614325,0.8877410468319559,0.8471074380165289,0.9053030303030303,0.8657024793388429,0.8209366391184573,0.8956611570247934,
remove_outliers_lof + features_selection_variance_threshold + oversampling_adasyn,0.8915289256198347,0.8825757575757576,0.8429752066115702,0.9015151515151515,0.8629476584022039,0.8044077134986226,0.8946280991735537,
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote_borderline,0.8949724517906336,0.8925619834710744,0.8422865013774105,0.9049586776859504,0.8639807162534435,0.8088842975206612,0.8922176308539945,
remove_outliers_dbscan + features_selection_none + oversampling_none,,,,,,,0.3915289256198347,
