,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.9592529711375212,0.9371816638370118,0.8834182229767968,0.9615166949632145,0.9626485568760611,0.8647425014148273,0.9541595925297114,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote,0.933786078098472,0.9400113186191285,0.8528579513299378,0.946236559139785,0.9258630447085455,0.8715336728919072,0.9473684210526315,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_svm_smote,0.9049235993208828,0.9354838709677419,0.8432371250707413,0.9332201471420487,0.9043576683644595,0.822863610639502,0.9303904923599321,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_adasyn,0.9196378041878891,0.9156762874929258,0.8375778155065082,0.9371816638370118,0.9003961516694963,0.8239954725523486,0.9417091114883984,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote_borderline,0.9049235993208828,0.9303904923599321,0.8624787775891342,0.9383135257498585,0.8811544991511036,0.8160724391624222,0.9383135257498585,
remove_outliers_zscore + features_selection_none + oversampling_none,0.956989247311828,0.9490662139219015,0.9049235993208828,0.9632144878324844,0.9439728353140917,0.7945670628183361,0.9575551782682513,
remove_outliers_zscore + features_selection_none + oversampling_smote,0.9479343520090548,0.9332201471420487,0.8845500848896435,0.9518958687040181,0.9252971137521222,0.8517260894170912,0.9530277306168647,
remove_outliers_zscore + features_selection_none + oversampling_svm_smote,0.9473684210526315,0.9156762874929258,0.8517260894170912,0.9383135257498585,0.9026598754951896,0.7826825127334465,0.9428409734012451,
remove_outliers_zscore + features_selection_none + oversampling_adasyn,0.9326542161856254,0.9179400113186191,0.8924731182795699,0.9383135257498585,0.8975664968873798,0.8222976796830787,0.9451046972269384,
remove_outliers_zscore + features_selection_none + oversampling_smote_borderline,0.9332201471420487,0.9122807017543859,0.8873797396717601,0.9360498019241652,0.9043576683644595,0.7962648556876061,0.9422750424448217,
remove_outliers_zscore + features_selection_extratrees + oversampling_none,0.9513299377475948,0.9541595925297114,0.9094510469722694,0.946236559139785,0.9513299377475948,0.9360498019241652,0.9366157328805885,0.9711375212224108
remove_outliers_zscore + features_selection_extratrees + oversampling_smote,0.9394453876627051,0.9151103565365025,0.8902093944538766,0.9168081494057725,0.9241652518392756,0.9383135257498585,0.9241652518392756,0.9298245614035088
remove_outliers_zscore + features_selection_extratrees + oversampling_svm_smote,0.9219015280135824,0.9139784946236559,0.8953027730616865,0.9066213921901528,0.9060554612337295,0.9252971137521222,0.9207696661007357,0.9235993208828522
remove_outliers_zscore + features_selection_extratrees + oversampling_adasyn,0.9026598754951896,0.9015280135823429,0.8737973967176005,0.8992642897566497,0.9071873231465761,0.9366157328805885,0.8998302207130731,0.8856819468024901
remove_outliers_zscore + features_selection_extratrees + oversampling_smote_borderline,0.9145444255800792,0.8777589134125636,0.8970005659309565,0.8788907753254103,0.8687040181097906,0.9235993208828522,0.9162422184493492,0.8924731182795699
remove_outliers_zscore + features_selection_mutual_information + oversampling_none,0.956989247311828,0.9598189020939445,0.8924731182795699,0.966044142614601,0.9615166949632145,0.9111488398415394,0.9541595925297114,0.9530277306168647
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote,0.9332201471420487,0.9507640067911715,0.8726655348047538,0.9054895302773062,0.9252971137521222,0.9303904923599321,0.9309564233163554,0.9202037351443124
remove_outliers_zscore + features_selection_mutual_information + oversampling_svm_smote,0.9479343520090548,0.9496321448783248,0.9168081494057725,0.9473684210526315,0.8941709111488398,0.9434069043576684,0.9490662139219015,0.9219015280135824
remove_outliers_zscore + features_selection_mutual_information + oversampling_adasyn,0.9366157328805885,0.9264289756649688,0.8981324278438031,0.9428409734012451,0.8879456706281834,0.9111488398415394,0.9417091114883984,0.8896434634974533
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote_borderline,0.9247311827956989,0.9298245614035088,0.8873797396717601,0.9173740803621958,0.9083191850594228,0.8919071873231466,0.9281267685342388,0.8907753254102999
