,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_zscore + features_selection_extratrees + oversampling_none,0.9133387666395002,0.9120908845009468,0.8925298528186616,0.9124147339699864,0.9027926960257787,0.8828396050173472,0.9068493150684931,0.8603660065179243
remove_outliers_zscore + features_selection_extratrees + oversampling_smote,0.9098383118662647,0.9008356545961003,0.882468443197756,0.9045226130653267,0.8997245179063361,0.8871054039593363,0.9022099447513813,0.897568970226714
remove_outliers_zscore + features_selection_extratrees + oversampling_svm_smote,0.9034941763727122,0.900473933649289,0.8833054159687326,0.9022810475922275,0.8964165733482643,0.880926724137931,0.9023849140321686,0.8974429474841903
remove_outliers_zscore + features_selection_extratrees + oversampling_adasyn,0.8953129385349425,0.8964546989307821,0.8623289583915108,0.8997734994337486,0.8970341354224959,0.8871616188689359,0.8915054667788057,0.880450070323488
remove_outliers_zscore + features_selection_extratrees + oversampling_smote_borderline,0.901534170153417,0.889589905362776,0.8832543884090276,0.8904816513761469,0.8824374820350676,0.8831168831168831,0.900444938820912,0.8884507042253522
remove_outliers_zscore + features_selection_mutual_information + oversampling_none,0.9190217391304348,0.9265228079759629,0.8832259871184542,0.9279695569448221,0.90758547008547,0.8788209606986901,0.9168026101141924,0.8881856540084387
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote,0.9110497237569061,0.9127954360228199,0.8756388415672913,0.9047215154085383,0.9043141592920354,0.8850605652759085,0.9078366445916115,0.8951279933938893
remove_outliers_zscore + features_selection_mutual_information + oversampling_svm_smote,0.9165526675786595,0.9204607789358201,0.8947804473902238,0.9225682006062277,0.8969628157820039,0.8871740287386909,0.9141455437448894,0.8940724478594951
remove_outliers_zscore + features_selection_mutual_information + oversampling_adasyn,0.9128516271373415,0.9135044642857142,0.8860971524288107,0.9214601769911505,0.8940170940170941,0.877145192045764,0.9127811300054854,0.8784576697401508
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote_borderline,0.9097995545657015,0.9178770949720672,0.8821378340365683,0.9150437482359582,0.9029535864978903,0.8692774407060121,0.911111111111111,0.8837731611454238
remove_outliers_zscore + features_selection_rfe + oversampling_none,0.920108695652174,0.9143486642798127,0.8903082477089697,0.9242919389978212,0.889251700680272,0.8777292576419214,0.9181669394435351,
remove_outliers_zscore + features_selection_rfe + oversampling_smote,0.9129476584022038,0.9102063580591188,0.8958275766786405,0.923076923076923,0.9009708737864077,0.8861035422343323,0.9126745140980017,
remove_outliers_zscore + features_selection_rfe + oversampling_svm_smote,0.9181494661921707,0.9126213592233009,0.8818105616093881,0.9169675090252708,0.8928170594837261,0.8775006851192108,0.9165751920965972,
remove_outliers_zscore + features_selection_rfe + oversampling_adasyn,0.9094444444444444,0.913103448275862,0.8885786093270037,0.9191442067240899,0.8952273369104774,0.8819330038440417,0.9094910591471801,
remove_outliers_zscore + features_selection_rfe + oversampling_smote_borderline,0.91324703938309,0.9124270225187656,0.8853288364249579,0.920704845814978,0.8900226757369615,0.8809458344789661,0.9128996692392503,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_none,0.9213177239313912,0.9096989966555183,0.8823529411764707,0.929392446633826,0.88865210442195,0.8232189973614775,0.9185667752442997,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote,0.9194390981578225,0.9039799610353465,0.8657314629258517,0.9260485651214129,0.8953649736330835,0.8440103418557886,0.9130553284273644,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_svm_smote,0.914349276974416,0.9160724081184861,0.886776628459603,0.9189640768588136,0.8947514579283532,0.8250438853130486,0.9167349167349167,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_adasyn,0.9185307925987297,0.9076795120598836,0.8780625176006759,0.921497919556172,0.8935692221286154,0.8362144740697334,0.9156164383561644,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote_borderline,0.9175172413793102,0.9078014184397163,0.8686131386861314,0.9203786191536747,0.8920741989881956,0.8303334316907642,0.9157808667211773,
remove_outliers_iqr + features_selection_none + oversampling_none,0.8929229150223625,0.7870265366296213,0.8002969561989606,0.8951965065502184,0.7565831727681439,0.8258221680876979,0.8918776371308018,
remove_outliers_iqr + features_selection_none + oversampling_smote,0.8794892258579409,0.8580405598400457,0.780373831775701,0.8634514816966881,0.862689926842994,0.7898089171974523,0.8927504751561227,
remove_outliers_iqr + features_selection_none + oversampling_svm_smote,0.8959227467811158,0.8964365256124722,0.7748827514330381,0.8962025316455695,0.8594444444444445,0.7761270491803279,0.8983143012506798,
remove_outliers_iqr + features_selection_none + oversampling_adasyn,0.8686073957513768,0.8563458856345886,0.8046097433211106,0.8533646782250955,0.862845737097234,0.8050521691378364,0.8800433252098564,
remove_outliers_iqr + features_selection_none + oversampling_smote_borderline,0.8745426032409828,0.8844108592219424,0.7761563195646797,0.8826049700085691,0.8601065320998037,0.7578486249695789,0.8956687551076002,
remove_outliers_iqr + features_selection_extratrees + oversampling_none,0.9014909478168265,0.7920425630349295,0.79016637695555,0.9027630180658873,0.7646040675032453,0.8296969696969697,0.8873862158647594,0.8166548379465342
remove_outliers_iqr + features_selection_extratrees + oversampling_smote,0.8244918195339612,0.8930052529720763,0.8149087221095335,0.8876728110599079,0.8302967204580948,0.747785304846274,0.8412256267409471,0.8368326334733053
remove_outliers_iqr + features_selection_extratrees + oversampling_svm_smote,0.8968707482993198,0.8372703412073492,0.7969592937714567,0.8791946308724832,0.8520833333333334,0.8417844278193405,0.8983050847457625,0.8421356421356422
remove_outliers_iqr + features_selection_extratrees + oversampling_adasyn,0.827240861291938,0.8605150214592275,0.7651006711409396,0.869467155342543,0.816580310880829,0.7746281223687904,0.8711159146176709,0.8270858524788391
remove_outliers_iqr + features_selection_extratrees + oversampling_smote_borderline,0.8637463047567857,0.8766531713900134,0.7847032530419668,0.8835005574136009,0.8269430051813472,0.7493593029215787,0.8905349794238683,0.8373619814980602
remove_outliers_iqr + features_selection_mutual_information + oversampling_none,0.9022115640820677,0.8955790615676703,0.8184255422861321,0.9042291950886766,0.8135515095644157,0.8484299516908212,0.8710089399744572,0.8274722681142318
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote,0.8635503917860037,0.8582219639744334,0.7687516221126395,0.8718984420080784,0.8832054560954816,0.8142857142857143,0.8758351893095768,0.8381348381348381
remove_outliers_iqr + features_selection_mutual_information + oversampling_svm_smote,0.889997229149349,0.8791455874086566,0.7945917836713469,0.8849354375896699,0.8856420342792919,0.8627225732337738,0.8844419391206314,0.8656309621150178
remove_outliers_iqr + features_selection_mutual_information + oversampling_adasyn,0.8684636118598383,0.8384527872582481,0.7724535218643624,0.8688046647230321,0.8143143143143143,0.8464730290456431,0.8883965660481861,0.8443287037037037
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote_borderline,0.8261301539990065,0.8840000000000001,0.7613899613899614,0.8704028021015762,0.8487951807228916,0.8061721710882511,0.8884594146880177,0.8303812668868208
remove_outliers_iqr + features_selection_rfe + oversampling_none,0.9026407041877834,0.8852637302882002,0.7800704579768495,0.8958505083814235,0.7565831727681439,0.8176488738043813,0.8911258278145696,
remove_outliers_iqr + features_selection_rfe + oversampling_smote,0.8735693372371574,0.8729250143102462,0.7947866087400972,0.8742065781881131,0.8595317725752508,0.7974345269909141,0.8768526003772569,
remove_outliers_iqr + features_selection_rfe + oversampling_svm_smote,0.900866738894908,0.8907193849533224,0.7883029242689329,0.8944864259725722,0.8560885608856089,0.7855483870967742,0.896082698585419,
remove_outliers_iqr + features_selection_rfe + oversampling_adasyn,0.8637559179379274,0.8533878504672897,0.7913743829566121,0.8560583941605839,0.8599605522682445,0.8170697012802276,0.8808683853459973,
remove_outliers_iqr + features_selection_rfe + oversampling_smote_borderline,0.8763326226012794,0.8815457854942593,0.7811094452773614,0.8855524079320113,0.8528198074277854,0.7532919254658385,0.8919803600654664,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_none,0.8969889064976228,0.8460194659346145,0.7790639154504279,0.8973300302780072,0.7565831727681439,0.8258221680876979,0.8918776371308018,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote,0.8402725208175624,0.8394839483948395,0.7821955488872219,0.8769318832283914,0.8627990101732198,0.7579699056363173,0.890958904109589,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_svm_smote,0.876927096942775,0.8519010901356022,0.7872235872235872,0.8927257288423437,0.8445963712858269,0.7743871935967985,0.8968489092378131,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_adasyn,0.8538696537678208,0.873450562121649,0.8129496402877697,0.8713835577198511,0.8542410101564645,0.784450402144772,0.8813096862210096,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote_borderline,0.8569234706936268,0.8830803822372119,0.8154599891126838,0.8897121687090338,0.8465638148667601,0.7674015357939064,0.8894907908992415,
remove_outliers_lof + features_selection_none + oversampling_none,0.9190956142740397,0.9164391043145822,0.8792621576299608,0.9278294149808638,0.8885383806519453,0.8445190156599554,0.9164847161572053,
remove_outliers_lof + features_selection_none + oversampling_smote,0.918005540166205,0.9073446327683616,0.8649401280980229,0.9224806201550388,0.8954393770856507,0.8588787627727147,0.9175314036045877,
remove_outliers_lof + features_selection_none + oversampling_svm_smote,0.9173852573018082,0.9054473609935084,0.8567302137492778,0.9206703910614525,0.8888888888888888,0.8427566807313642,0.9162752141475546,
remove_outliers_lof + features_selection_none + oversampling_adasyn,0.9155953046394635,0.9037162162162162,0.859603789836348,0.9208472686733555,0.89215963770167,0.8408833522083806,0.9157952669235003,
remove_outliers_lof + features_selection_none + oversampling_smote_borderline,0.9108244531688167,0.9122318194483142,0.8541068351522113,0.9238042269187986,0.8927257288423437,0.8555493586168433,0.9106994747027924,
