Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,Percent of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,label
0.0,21.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,33.89493679,34.0,8.61,0.721296296,9.0,3.0,75.0,0.0
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,18.48897279,45.0,20.67,1.731613757,10.0,2.0,83.33333333,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,0.0,29.0,15.55,1.302689594,5.0,5.0,41.66666667,0.0
0.0,20.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,1.0,83.67401388,41.0,6.6,0.552910053,10.0,2.0,83.33333333,0.0
0.0,21.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,260.3132079,46.0,13.07,1.094929453,12.0,0.0,100.0,0.0
0.0,21.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,59.0,37.34,3.128130511,8.0,4.0,66.66666667,0.0
0.0,19.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,1.0,33.90047247,76.0,24.99,2.093518519,12.0,0.0,100.0,0.0
0.0,20.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,46.0,16.87,1.413271605,9.0,3.0,75.0,0.0
1.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,0.0,22.0,7.05,0.590608466,7.0,5.0,58.33333333,0.0
0.0,20.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,0.0,1.0,17.32749755,31.0,4.47,0.374470899,11.0,1.0,91.66666667,0.0
0.0,19.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,18.69570791,34.0,9.27,0.776587302,8.0,4.0,66.66666667,0.0
0.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,15.71160919,48.0,13.53,1.133465608,13.0,0.0,100.0,0.0
1.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,25.78203164,49.0,15.29,1.280908289,12.0,0.0,100.0,0.0
0.0,20.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,56.55174503,55.0,22.32,1.86984127,8.0,4.0,66.66666667,0.0
0.0,19.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,5.0,0.0,1.0,10.97496196,54.0,6.97,0.583906526,11.0,1.0,91.66666667,0.0
0.0,19.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,4.0,0.0,1.0,15.15672055,50.0,11.69,0.979320988,11.0,1.0,91.66666667,0.0
0.0,20.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,13.82471854,42.0,13.07,1.094929453,11.0,1.0,91.66666667,0.0
1.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,19.10128193,53.0,9.59,0.803395062,12.0,0.0,100.0,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,39.0,14.12,1.182892416,9.0,2.0,75.0,0.0
0.0,23.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,9.528501411,61.0,19.96,1.672134039,13.0,0.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,21.0,4.59,0.38452381,7.0,5.0,58.33333333,0.0
0.0,20.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,43.36628919,74.0,6.79,0.56882716,10.0,1.0,83.33333333,0.0
0.0,22.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,15.71160919,44.0,13.7,1.147707231,6.0,6.0,50.0,0.0
0.0,22.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,101.4196272,48.0,10.82,0.90643739,12.0,0.0,100.0,0.0
0.0,22.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,10.23564577,32.0,5.68,0.475837743,11.0,1.0,91.66666667,0.0
1.0,21.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,56.93876554,35.0,15.59,1.306040564,8.0,4.0,66.66666667,0.0
1.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,20.03198531,23.0,16.3,1.365520282,5.0,7.0,41.66666667,0.0
0.0,24.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,0.0,1.0,17.00427496,17.0,11.67,0.366093036,5.0,6.0,41.66666667,1.0
0.0,21.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,0.0,1.0,13.49307236,32.0,6.97,0.218651967,3.0,9.0,25.0,1.0
0.0,21.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,23.58863612,20.0,2.88,0.241269841,3.0,9.0,25.0,1.0
0.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,19.78913168,5.0,0.9,0.075396825,1.0,15.0,8.333333333,1.0
0.0,20.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,59.84100955,27.0,20.5,1.717372134,2.0,10.0,16.66666667,1.0
0.0,20.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,0.0,1.0,309.7215152,21.0,5.48,0.459082892,8.0,4.0,66.66666667,1.0
0.0,20.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,0.0,1.0,49.85091805,18.0,7.86,0.658465608,6.0,6.0,50.0,1.0
0.0,35.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,14.91854231,6.0,6.51,0.54537037,5.0,7.0,41.66666667,1.0
0.0,19.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,1.0,27.91746269,6.0,8.05,0.674382716,0.0,12.0,0.0,1.0
0.0,22.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,19.34646364,31.0,8.12,0.680246914,7.0,4.0,58.33333333,0.0
0.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,44.32654484,41.0,33.87,1.384240612,12.0,0.0,100.0,0.0
1.0,44.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,12.74442906,132.0,82.32,3.364354508,9.0,0.0,75.0,0.0
0.0,20.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,60.79114499,56.0,22.61,0.924053152,8.0,4.0,66.66666667,0.0
0.0,23.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,37.56492218,71.0,29.85,1.219946332,12.0,0.0,100.0,0.0
0.0,22.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,0.0,69.0,15.59,0.6371512,11.0,1.0,91.66666667,0.0
1.0,20.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,5.0,0.0,1.0,10.97496196,120.0,54.68,2.234729161,12.0,0.0,100.0,0.0
